name,long_description,short_description
amaura,"Azul, Amaura está basado en un Amargasaurus, una especie de dinosaurio saurópodo con dos hileras de espinas que formaban a su vez dos crestas.","Blue Amargasaurus, sauropod dinosaur, two rows of spines forming two ridges."
ambipom,"Morado, Su rasgo característico es que ahora posee dos colas con forma de mano en lugar de una como Aipom, estas son más largas que su cuerpo. Tiene dos mechones los cuales son más largos en las hembras. Su nariz se distingue por un pequeño triangulo de pelo morado. Posee cuatro extremidades delgadas, dos inferiores y dos superiores.","Purple jumpsuit, two tails with one hand at the end, two tufts, purple triangular nose, slender arms and legs."
amoonguss,"Blanco, Al igual que su preevolución Foongus, Amoonguss está basado tanto en una Amanita muscaria como en una Poké Ball. Sin embargo, ahora también tiene brazos terminados en unos apéndices redondeados con el patrón de una Poké Ball, al igual que su sombrero.","Amanita muscaria white, Poké Ball, arms ending in rounded appendages with Poké Ball pattern, as well as its hat."
ampharos,"Amarillo, Ampharos está físicamente basado tanto en una oveja esquilada, como en un pequeño dragón, y conceptualmente en el título de la novela de Philip K. Dick ¿Sueñan los androides con ovejas eléctricas?.","yellow sheared sheep, dragon"
anorith,"Gris, Anorith está basado en un Anomalocaris. Anorith se regeneró a partir de un fósil prehistórico. Tiene cuatro aletas a cada lado de su cuerpo que se ajustan perfectamente a su modo de vida en el mar, gracias a ellas pudo nadar por las primeras aguas que hubo. Usa sus pinzas para cazar a sus presas, que se esconden en las rocas del mar.","Anomalocaris gray, prehistoric fossil, four fins on each side of its body, pincers"
appletun,"Verde, Appletun está basado en un dragón cuadrúpedo y en una tarta de manzana. Su color se basa en las manzanas verdes, aunque también posee un pedazo de manzana roja a modo de casco. Lo que aparenta ser unas orejas caídas se trata en realidad de la parte trasera de sus ojos y cuando las levanta estos pueden verse.","a green apple pie, quadrupedal dragon, piece of red apple as a helmet with droopy ears"
applin,"Verde, Applin está basado en una larva de la polilla del manzano, que se introduce en las manzanas y se alimentan de su núcleo, haciéndolas madurar antes de tiempo. También puede basarse en Ladón, un dragón de la mitología griega que protege las manzanas doradas en el Jardín de las Hespérides o en un wyrm.","green apple moth larvae, Ladon, wyrm"
araquanid,"Verde, Araquanid está basado en una araña de agua o posiblemente en una araña de mar. Este Pokémon destaca por su grandes ojos de una tonalidad celeste con una franja ondulada de color blanco. Su cabeza está completamente rodeada de una burbuja de agua. Su cuerpo es de una tonalidad gris azul oscura y en ella destacan visos verdes, amarillos o marrones. Sus patas son verdes claras y sus garras azules y puntiagudas.","green water spider, large light blue eyes with a white wavy stripe, head surrounded by a water bubble, dark blue body, light green legs, blue pointed claws."
arbok,"Morado, Arbok parece estar inspirado en la cobra de anteojos. De color púrpura en todo su cuerpo, posee una capucha que, a diferencia de una cobra real, no se puede retraer. Su cuerpo parece segmentado con varias líneas de una tonalidad más oscura. Posee colmillos venenosos en su boca y una fina lengua bífida.","purple spectacled cobra, hood, segmented body with several lines of a darker shade, venomous fangs in its mouth, thin forked tongue."
arcanine,"Marrón, Arcanine está basado en los Shisa, criaturas míticas mezcla entre león y perro cuyas estatuas se utilizan como guardianes contra los malos espíritus.","Shisa brown, mix between lion and dog, guardian"
arceus,"Blanco, Arceus está basado en el concepto de una deidad creadora. Físicamente tiene una clara semejanza con una alpaca o una llama, haciendo referencia a la primera porque las culturas incas y aztecas las consideraban divinas, pero puede tener influencia también de ciervos, caballos y del Quilin, una criatura mística china. Posee una especie de arco en el torso que se dice que esconde sus 1.000 brazos dorados. La aureola que lleva alrededor del torso representan doblemente la perfección, ya que por una parte se asemejan al circumpunto, que es el símbolo del oro, del Sol y la perfección; por otra parte, el oro era un símbolo de perfección en algunas culturas sudamericanas. Arceus tiene una alta relación con el número 4, número asociado con la perfección en las culturas griega y romana: tiene 4 patas, 4 protuberancias en su cuello y 4 puntas en su aureola. Además, Arceus representa la pureza, porque su color blanco simboliza la inocencia, la paz y la pureza.","white creator deity. alpaca, llama, deer, horse, Quilin, golden bow on the torso, circumpunto, gold, 4 legs, 4 protuberances on its neck and 4 tips on its halo."
archen,"Amarillo, Archen tiene la apariencia de un Archaeopteryx y un microraptor, un dinosaurio emplumado que vivió a principios del Cretácico (hace unos 130 millones de años). Su plumaje es principalmente amarillo con tonos marrones, aunque la punta de las alas y la cola y el dorso de su cabeza presentan un intenso color azul. Posee un pico grande de color rojizo.","Yellow Archaeopteryx, microraptor, feathered dinosaur, yellow plumage with brownish tones, blue wingtips, tail and back of head, large reddish beak."
archeops,"Amarillo, Archeops está basado en un Archaeopteryx, un género de aves primitivas que vivieron en el Jurásico Superior, sin embargo, sus cuatro alas y las plumas al final de la cola podría sugerir inspiración del dinosaurio planeador Microraptor del Cretácico Inferior, aunque también podría representar a Quetzalcóatl, una divinidad prehispánica que se la representaba como una serpiente emplumada voladora.","Yellow Archaeopteryx, Lower Cretaceous Microraptor, Quetzalcoatl, flying feathered serpent."
arctovish,"Azul, Su diseño extraño está basado en las primeras interpretaciones que los paleontólogos le daban a los fósiles encontrados en un mismo yacimiento, o con falta de huesos en el yacimiento, las cuales eran erróneas y físicamente incorrectas, tal y como se puede ver en el Crystal Palace de Bromley, un lugar de Inglaterra en el cual hay muchos casos de formaciones erróneas de fósiles. La parte de arriba de Arctovish está basada en un Dunkleosteus, mientras que la parte de abajo está basada en un Plesiosaurio.","erroneous fossil formations, upper part based on Dunkleosteus, lower part based on a Plesiosaurus."
arctozolt,"Azul, Su diseño extraño está basado en las primeras interpretaciones que los paleontólogos le daban a los fósiles encontrados en un mismo yacimiento, o con falta de huesos en el yacimiento, las cuales eran erróneas y físicamente incorrectas, tal y como se puede ver en el Crystal Palace de Bromley, un lugar de Inglaterra en el cual hay muchos casos de formaciones erróneas de fósiles. La parte de arriba de Arctozolt está basada en algún dinosaurio de la familia dromeosauridae debido a sus rasgos parecidos a los de un ave y un lagarto, mientras que la parte de abajo está basada en un Plesiosaurio.","wrong fossil formation, upper part based on dromeosauridae, lower part based on a Plesiosaur."
ariados,"Rojo, Ariados está basado en la Myrmarachne plataleoides, una araña perteneciente a la familia de arañas saltadoras que imitan a las hormigas tejedoras, es por ello que su fisionomía parece tener rasgos comunes de araña y hormiga. Tiene seis patas, dos de ellas levantadas, rasgo que caracteriza a las plataleoides, que probablemente sean usadas como antenas, así como un pequeño cuerno entre sus grandes ojos. Tiene dos quelíceros a ambos lados de su boca, que le ayudan a sujetar y masticar.","Myrmarachne plataleoides red, jumping spider, six legs, two legs as antennae, small horn between its large eyes, two chelicerae on both sides of its mouth."
armaldo,"Gris, Este Pokémon tiene un aspecto que sugiere a un invertebrado marino o un crustáceo. Está basado en un anomalocaris, que vivió en los mares hace más de 545 millones de años. Su hábitat es el océano, aunque era común en los lagos de agua dulce, pese a que el fósil garra se encuentre en el desierto, que antiguamente fue un mar. Puede resistir cualquier ataque con su dura coraza y romper piedras con sus poderosas garras.","gray marine invertebrate, anomalocaris, hard shell, claws."
aromatisse,"Rosa, Aromatisse está basado en una bailarina de cabaret o de cancán, y en un frasco de perfumes femenino. Su cuerpo es redondeado y de dos tonos distintos de rosa. La parte superior es de un tono rosa más oscuro, mientras que la parte inferior, que imita una falda, es de un tono rosado claro. Al igual que las bailarinas francesas, enseña una de sus piernas. Como ocurre con Spritzee, su nariz está inspirada en los médicos de la peste negra originarios de Europa medieval, los cuales usaban una máscara con forma de pico de ave en la que se incluía perfume y plantas aromáticas para soportar el hedor de la enfermedad. También presenta unos grandes ojos rojos con apariencia de haber sido maquillados.","Cabaret dancer or pink cancan, female perfume bottle, light pink body, dark pink leg, bird's beak nose, red eyes"
aron,"Gris, Aron está basado en el Bulgasari, un monstruo de la mitología coreana que se alimenta de metal.","Bulgasari gray, metal."
arrokuda,"Marrón, Arrokuda está basado tanto en un dardo como en una barracuda, pez conocido por su velocidad al nadar y su ferocidad para atacar a sus presas.","brown barracuda, dart"
articuno,"Azul, Articuno es un enorme pájaro de color azulado, con una cresta en forma de tres rombos más oscura en la cabeza, que a su vez tienen la forma de unos carámbanos, del mismo color que su larga cola en forma de cinta brillante. Tiene un pequeño pico y unas delgadas patas de color grisáceo. De su pecho sobre sale un plumaje con una tonalidad blanca.","bluish bird, crest in the form of three darker diamonds on the head, which in turn have the shape of icicles, the same color as its long tail in the form of a bright ribbon, small beak, thin grayish legs, plumage with a white hue on the chest."
audino,"Rosa, Blanco, Audino tiene la apariencia de un cobaya o conejo con características de hada. Se dedican a ayudar a quien lo necesite, por eso Audino es utilizado en centros Pokémon. Su cuerpo es principalmente de color crema con áreas rosadas. Sus orejas son caídas y tienen un rizo que aparentemente es de pelaje. Tiene una cola blanca y esponjosa que se asemeja a la de un conejo. Tiene piernas cortas con pies redondos y dos dedos, y brazos que terminan en manos pequeñas con tres dedos. Tiene unos brillantes y dulces ojos azules sin pupilas, y siempre parece estar sonriendo dulcemente.","A pink guinea pig, fairy-like in appearance, short legs with two toes, curled tail, droopy ears, short arms ending in small hands, bright blue eyes with no pupils, always smiling sweetly."
aurorus,"Azul, Aurorus está basado en un Amargasaurus, una especie de dinosaurio saurópodo con dos hileras de espinas que formaban a su vez dos crestas; debido a la cresta que forma un velo, también se inspira en una reina victoriana.","Blue Amargasaurus, sauropod with two rows of spines forming two ridges, Victorian queen."
avalugg,"Azul, Avalugg está basado en un iceberg, más concretamente en la variante tabular, los cuales se caracterizan por su parte alta perfectamente plana. Además con las referencias de la Pokédex a un portaaviones, Avalugg puede hacer referencia al Proyecto Habbakuk, un plan concebido por los aliados en la Segunda Guerra Mundial para construir un portaaviones de Pykrete, una combinación de hielo y pulpa de madera. En cuanto a su aspecto cuadrúpedo, está inspirado en un etosaurio, dinosaurios con múltiples picos en su lomo pero con espalda lisa.","A blue iceberg, aircraft carrier, smooth-backed, quadrupedal"
axew,"Verde, Axew está basado en un dinosaurio de la familia Scutosaurus, los cuales tenían unas grandes protuberancias en su mandíbula. Este Pequeño Pokémon de tonalidades verdes destaca por la enorme cresta que tiene en su cabeza y los dos grandes colmillos que sobresalen horizontalmente de su boca. Posee dos enormes ojos con un iris rojo, cuatro extremidades, dos que usa para caminar y dos con las que puede tomar objetos, además de una cola.","Green Scutosaurus, protrusions on its jaw, small, crest on its head, two fangs protruding horizontally from its mouth, two eyes with a red iris, four limbs, two that it uses for walking and two with which it can grasp objects, plus a tail."
azelf,"Azul, Azelf está basado en la espada Kusanagi, uno de los Tres Tesoros Sagrados de Japón, la cual representa el valor.
Azelf tiene un pequeño cuerpo azul y es similar a Uxie y Mesprit, excepto por su cabeza. La forma de su cabeza es la de un cono azul con un rubí incrustado en su frente. Sus dos orejas se encuentran caídas, sus ojos son amarillos y los párpados del mismo azul que el de su cabeza. Parece que siempre está en trance. Se dice que fue quien dio el valor de la voluntad a los humanos cuando fueron creados.","Blue Kusanagi, courage, small blue body, blue cone-shaped head with a ruby embedded in her forehead, two droopy ears, yellow eyes, in a trance"
azumarill,"Azul, Azumarill es un Pokémon de agua dulce, ya que habita en ríos y lagos, aunque puede vivir en el mar, pero nunca sale a mar abierto. Suele convivir casi siempre con Azurill y Marill. Es un herbívoro que encuentra plantas acuáticas usando las vibraciones que detecta con las orejas. Es tan sensible que puede detectarlas a pesar de que esté en fuertes corrientes, también se dice que con estas pueden escuchar perfectamente todo bajo el agua. En caso de ser atacado, se camufla rápidamente en el agua.","Blue freshwater Pokémon, herbivore, ears"
azurill,"Azul, Azurill tiene una especie de pelota en la cola mayor que el resto de su cuerpo que contiene todos los nutrientes que necesita para su crecimiento. Esta pelota se comporta como si estuviera hecha de goma, botando continuamente. Como es muy juguetón, es fácil ver a estos Pokémon saltando y jugueteando sentados encima de su propia cola. De hecho, esta práctica le permite desplazarse en la tierra botando a gran velocidad, ya que de lo contrario sería muy lento caminando. Azurill vive cerca del agua y, en días soleados, se reúne con otros de su especie en las orillas de ríos y lagos para jugar chapoteando. Si se adentra a zonas en las que no hace pie, su cola le sirve de flotador. También la puede usar para salvar a otros Pokémon, como cuando la usó para salvar a un Slowpoke a punto de ahogarse en un pantano.2","Freshwater blue ball, herbivorous, ears"
bagon,"Azul, Este Pokémon sueña con volar entre las nubes, pero la frustración de no poder hacerlo lo lleva a romper grandes rocas usando su dura cabeza. Bagon no cumple su deseo hasta alcanzar su última evolución y convertirse en un Salamence. A lo largo de su etapa de Bagon, embiste pequeñas montañas y partes rocosas para aumentar su resistencia y endurecer su cabeza. Conocido como el Pokémon cabeza-dura, algunos Bagon llegan a endurecer tanto su cabeza que les es útil tanto ofensiva como defensivamente.","A blue ball, bouncing, swimming, splashing"
baltoy,"Marrón, Baltoy gira todo el tiempo sobre su eje. Incluso cuando duerme, es capaz de mantener el equilibrio. Hay grandes misterios que rodean a estos Pokémon, se saben que fueron muy importantes en civilizaciones antiguas ya que se han encontrado antiguos dibujos de estos Pokémon grabados en piedra en convivencia con los humanos.","Brown millenary spinning top, spins on its axis, ancient civilization"
banette,"Negro, Banette es un Pokémon humanoide con forma de muñeco de felpa, el cual está completamente poseído por el odio generado en él al ser abandonado por su dueño. Vagan sin descanso en busca de su antiguo dueño que los abandonó para vengarse, Banette genera energía para echar un infalible hechizo clavándose púas a sí mismo, haciendo referencia a los muñecos vudú. Los Banette prefieren vivir en áreas urbanas como callejones o depósitos de basura donde suelen asustar a todo aquel que abandone sus muñecos. Se dice que si abre su boca, que parece un cierre, se quedará sin energía. Este Pokémon puede convertirse en un muñeco si se le vuelve a tratar con cariño.","Black stuffed doll, voodoo, spells, spike, zipper"
barbaracle,"Marrón, Barbaracle está basado en un percebe.",brown barnacle
barboach,"Gris, Barboach está basado en un barbo dojo. Barboach tiene unos bigotes sensibles que le sirven de radar para localizar a sus presas, incluso en las aguas más turbias. Este Pokémon se sumerge en lodo y solo deja los bigotes por fuera de la superficie, al acecho, mientras espera a que llegue su presa. Esto ha dado lugar a ciertas leyendas que dicen que Barboach ha nacido de barro endurecido. Los bigotes además contienen terminaciones nerviosas, lo que le permiten captar olores y saborear los alimentos como si fueran una nariz o lengua humana.","gray barbel dojo, whiskers"
barraskewda,"Marrón, Barraskewda está basado en una barracuda, una brocheta y en un torpedo submarino ya que utiliza su aleta caudal a modo de hélice para impulsarse y desplazarse bajo el agua a la hora de cazar.","brown barracuda, skewer, underwater torpedo, caudal fin as a propeller"
basculin,"Verde, Basculin está basado en una lubina y en una piraña con aletas muy afiladas.","green sea bass, piranha with very sharp fins"
bastiodon,"Gris, Bastiodon es un Pokémon similar a un dinosaurio, concretamente un Pentaceratops. Posee más cuernos que su preevolución, e incluso colmillos en la boca.","Gray pentaceratops, horns, fangs in the mouth."
bayleef,"Verde, Al evolucionar de Chikorita, su cuello se vuelve mas largo, al igual que la cola, lo que le da un cierto parecido a un dinosaurio saurópodo, además de que Chikorita cambia su pequeño collar de semillas al evolucionar a Bayleef por unas semillas más grandes, a punto de germinar, parecido a Bulbasaur que al evolucionar a Ivysaur cambia su bulbo en la espalda por una flor. Además, la hoja sobre la cabeza también sufre una transmutación, haciéndola más larga, y con una pequeña ""mordida de insecto"". Su piel se vuelve amarilla.
De las hojas que Bayleef tiene en el cuello sale un olor picante, éste actúa como estimulante y reconstituyente; el olor también parece soliviantar a los Pokémon salvajes que pasan a comportarse de manera belicosa. ","green sauropod dinosaur, seed necklace, leaf on head"
beartic,"Blanco, Beartic está basado en un oso polar grande. Este Pokémon tiene una especie de ""barba"" de hielo. Tiene unas garras muy grandes que le sirven para muchos de sus ataques y tiene un pelaje muy espeso. Los Beartic no hibernan, están adaptados para aguantar frío ártico, por lo que no tiene la necesidad de dormirse.",
beautifly,"Amarillo, Tiene una larga trompa en espiral, que utiliza para beber el néctar de las flores, agua o zumo. Beautifly recolecta su alimento usando su trompa que suele estirarse conforme lo necesite y suele lamer el polen y néctar de las flores, siempre escogiendo las más hermosas del lugar. También le gusta el Polen dentro de la flor de Venusaur, llegando a libar de esta. Come a través de su trompa (probóscide)May/Aura le da un poco de comida a Beautifly y ella la absorbe con su trompa. y en caso de que coma una fruta Beautifly introduce su trompa dentro de la frutaLos Beautifly introducen su trompa dentro de la fruta para sacar su jugo, no suelen estar conformes con su dieta y se le ve frecuentemente buscando alimento.. Tiene unos hermosos colores en sus alas de tonos muy llamativos y formas circulares de diferentes tamaños que combinan en una hermosa obra de arte, es de apariencia tierna y bella.",
beedrill,"Amarillo, Beedrill comparte muchas características con las avispas y abejas, de forma que también es parecido a Combee y Vespiquen. Es bastante territorial, si su colmena es molestada o invadida comenzarán a atacar en un furioso enjambre. Es muy veloz y poderoso, zumbando y atacando a una velocidad vertiginosa, mientras hace uso de sus grandes aguijones venenosos de sus patas delanteras y de su cola. Cuando crecen y aprenden doble ataque se vuelven prácticamente intocables. Son de carácter agresivo. Su fuerza e ímpetu de ataque puede ser tal que puede llegar a traspasar puertas de madera.",
beheeyem,"Marrón, Beheeyem esta basado en los grises, uno de los tipos más populares de alienígenas. A juzgar por la entrada de Elgyem en la Pokédex, él y su evolución también pueden estar basados en el Área 51, conspiraciones alienígenas o el incidente de Roswell. Los puntos de colores en sus manos se asemeja a las caras de colores de los invasores de la película la guerra de los mundos de 1953; los extraterrestres en la película tenían puntos verdes, azules y rojas al igual que la coloración variocolor de Beheeyem.",
beldum,"Azul, Este Pokémon no es visto mucho en el exterior ya que vive en las montañas y cuevas, Los Beldum se comunican entre ellos mediante pulsos magnéticos, se mueven al unísono. En su cabeza tiene un solo ojo grande de color rojo, contiene una cresta cortada que se proyecta desde su cuerpo hasta su cabeza. En la parte final, se encuentra 3 garras las cuales utilizan para poder sostenerse en el suelo al momento de dormir .",
bellossom,"Verde, Bellossom está inspirado en la flor Rafflesia y una bailarina de hula. Su cuerpo es de color verde, su cabeza está adornada por dos flores con los pétalos de color rojo y con su centro amarillo. A su vez, su cuerpo está cubierto de hojas verdes y amarillas unidas entre sí a modo de falda.",
bellsprout,"Verde, Su cuerpo consiste en un tallo que es muy delgado y flexible, lo cual le permite doblarse y balancearse rápidamente para prevenir cualquier ataque, a causa de esto tiene una gran velocidad al momento de atrapar insectos, los cuales son su principal fuente de alimento, agregando a esto a que tiene un excelente sentido del olfato. Su brote tiene una apariencia de rostro humano, por este aspecto se dice que podría ser algún tipo de mandrágora legendaria. Absorbe agua a través de sus raíces, las cuales mantiene enterradas en la tierra cuando este está en reposo. Si se ve atacado no podrá arrancar sus raíces para atacar, estando enterradas, aunque su ataque hoja afilada es bastante efectivo y no necesita moverse para realizarlo.",
bergmite,"Azul, Bergmite está basado en una estalagmita congelada y en un ácaro. La parte superior de su cuerpo es azul y en ella están sus ojos amarillos y un cuerno que usa para atacar a sus enemigos. Por el contrario, la parte inferior es blanca y en ella tiene cuatro patas. Sus ojos son redondos y amarillos, con una diminuta pupila negra.",
bewear,"Rosa, Bewear está basado tanto en un panda rojo como en un oso de peluche.",
bibarel,"Marrón, Es un Pokémon corpulento, con grandes dientes, rostro chistoso y una cola color café. Tira árboles para construir su casa. Usa sus dientes para derribarlos, además de para otros fines, ya que bien entrenados, los Bibarel pueden llegar a desarrollar una fuerza enorme en sus dientes; como por ejemplo tallar bloques de piedraUn Bibarel royendo un bloque de piedra para darle la forma exacta, de forma que pueda ser utilizado en una construcción.. Aunque lo parezca, no hiberna, por ello les gusta alimentarseUn Bibarel comiendo. abundantemente. Su diseño hace alusión a un castor por sus dientes y su cola. Se caracteriza por tener un cuerpo esponjado, cuyo color predominante es el marrón en sus diferentes tonalidades, del cual cabe destacar el círculo crema en el pecho y en el contorno de los ojos, su cola plana de tonalidad bastante oscura con una franja crema y su roja y redonda nariz. Sus patas tienen una tonalidad oscura y cada una de ellas tiene de a tres dedos, pero las traseras tienen almohadillas de color crema. Aunque es bípedo, suele ser torpe fuera del agua, a pesar de ser habilidoso nadador. Por esta razón suelen tener sus nidos cercanos a los ríos.",
bidoof,"Marrón, Este Pokémon se parece mucho a un castor por sus grandes dientes, es de color café y marrón. Sus dientes le ayudan a cortar árboles o a hacer su propia casa. Se agrupan en colonias no muy numerosas, y entre los suyos suelen ser bastante tranquilos. ",
binacle,"Marrón, Binacle está basado en un percebe. Presenta dos cabezas con forma de garras. Su cuerpo está hecho de roca.",
bisharp,"Rojo, Bisharp, junto con su preevolución, están basados en piezas de ajedrez: mientras que Pawniard se basa en un peón, Bisharp se trata de un alfil.",
blacephalon,"Blanco, Blacephalon está basado tanto en un arlequín o payaso malvado como en fuegos artificiales. Su cabeza de color blanco está formada por un conjunto de curiosas chispas con una multitud de puntos rosas ​​y azules, y posee la capacidad de separarla a voluntad del resto del cuerpo para hacerla estallar. Tiene ambos brazos delgados con forma de lágrima en las muñecas y manos. El brazo derecho es rosado, mientras que el izquierdo es azul. Su torso y caderas anchas son amarillas con rayas azules y rosas alternadas. Hay una esfera blanca en el medio de su cuerpo y otra en su parte posterior en lugar de una cola. Cada brazo tiene una protuberancia esférica cerca del hombro. Sus piernas tienen forma de botas blancas de tacón alto con dedos curvados. Cada pie tiene una esfera: azul a la izquierda y rosa a la derecha.",
blastoise,"Azul, Blastoise está basado en una tortuga con dos cañones. Es una enorme tortuga bípeda, que puede extender unos poderosos cañones situados en su espalda para disparar potentes chorros de agua, con la fuerza suficiente para quebrar muros de hormigón o hacer agujeros en planchas de acero, para evitar el retroceso, planta firmemente sus patas traseras en el suelo antes de usar sus cañones, además de subir deliberadamente de peso. Su tonalidad es todavía un poco más oscura que la de Wartortle, además de que posee grueso cráneo y mandíbula que le sirven para usar movimientos como mordisco o cabezazo.",
blaziken,"Rojo, Blaziken está basado en un gallo de pelea. Blaziken posee una especie de cabellera color crema, adquiere una especie de máscara de color rojo con unos picos. Sus patas son largas y unas plumas con forma de pantalón las esconden dejando ver solo una parte pequeña de sus garras. Estas plumas protegen sus patas cuando usa patada ígnea.",
blipbug,"Azul, Blipbug está basado en la larva de una mariquita y también en el estéreotipo de un nerd. Sus pelos son sensores, con los cuales percibe lo que ocurre a su alrededor. Su cabeza se compone de dos segmentos: la parte superior es azul y la inferior se torna de un crema pálido, sus grandes ojos se asemejan a gafas de aumento por su forma ovalada y vertical. Debajo de su cabeza tiene un anillo azul con dos toques amarillentos que se asemejan a la forma de un moño. Tiene cuatro diminutas patas de color crema, su cuerpo es un tanto más amarillento y el extremo donde esta su cola es azul.",
blissey,"Rosa, Al igual que Chansey, Blissey cuida de los Pokémon heridos, tanto en los Centros Pokémon, como de los Pokémon salvajes cuando este se encuentra en estado salvaje, esto es algo que hace inconfundible a este Pokémon, además de su apariencia angelical. Los huevos que Blissey produce de forma natural en su vientre no son de Pokémon (ya que para estos necesita criar), por el contrario son huevos especiales y comestibles. Al comerlos, producen una gran sensación de felicidad en la persona y borran los recuerdos tristes, al menos, durante un tiempo. Por ello, se dice que cuando un Blissey está muy unido a una persona, ya que no soporta la tristeza, le ofrece su huevo el cual trae una sonrisa a cualquier cara. Está muy unido a los sentimientos humanos y principalmente a la amistad y felicidad.",
blitzle,"Negro, Blitzle está basado en una cría de cebra. Su cabeza tiene una especie de crin en forma de rayo, sus ojos son de color amarillo y azul, y sus orejas, triangulares.",
